FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
165,055,Puistokaari,Parksvängen,Puistokaari,Isokaari 33,Storsvängen 33,Helsinki,Helsingfors,CityBike Finland,16,24.8598662694232,60.1616959625607
166,056,Luoteisväylä,Nordvästpassagen,Luoteisväylä,Luoteisväylä 17,Nordvästpassagen 17,Helsinki,Helsingfors,CityBike Finland,12,24.8601992003384,60.1654485009652
167,057,Lauttasaaren ostoskeskus,Drumsö köpcentrum,Lauttasaari Shopping Center,Lauttasaarentie 26,Drumsövägen 26,Helsinki,Helsingfors,CityBike Finland,26,24.8828103623045,60.1604153547222
168,058,Lauttasaarensilta,Drumsö bro,Lauttasaarensilta,Lauttasaarentie 5,Drumsövägen 5,Helsinki,Helsingfors,CityBike Finland,20,24.8899154000946,60.1611858260783
169,059,Salmisaarenranta,Sundholmsstranden,Salmisaarenranta,Salmisaarenranta 9,Sundholmstranden 9,Helsinki,Helsingfors,CityBike Finland,28,24.900933485819,60.1647841790627
170,060,Kaapelitehdas,Kabelfabriken,Cable Factory,Tammasaarenkatu 7,Märaholmsgatan 7,Helsinki,Helsingfors,CityBike Finland,26,24.9065572669725,60.1618133723859
171,061,Länsisatamankatu,Västrahamnsgatan,Länsisatamankatu,Länsisatamankatu 19,Västrahamnsgatan 19,Helsinki,Helsingfors,CityBike Finland,16,24.9096920006593,60.1589276004759
172,062,Messitytönkatu,Mässflicksgatan,Messitytönkatu,Selkämerenkatu 12,Bottenhavsgatan 12,Helsinki,Helsingfors,CityBike Finland,18,24.9159015220252,60.1611180850252
173,063,Jätkäsaarenlaituri,Busholmskajen,Jätkäsaarenlaituri,Jätkäsaarenlaituri 1,Busholmskajen 1,Helsinki,Helsingfors,CityBike Finland,24,24.921489600822,60.1619311011687
174,064,Tyynenmerenkatu,Stillahavsgatan,Tyynenmerenkatu,Rionkatu 6,Stillhavsgatan 9,Helsinki,Helsingfors,CityBike Finland,20,24.9203435489547,60.1568077802669
175,065,Hernesaarenranta,Ärtholmsstranden,Hernesaarenranta,Hylkeenpyytäjänkatu 1a,Säljägargatan 1a,Helsinki,Helsingfors,CityBike Finland,40,24.9311978237827,60.1535144875582
176,066,Ehrenströmintie,Ehrenströmsvägen,Ehrenströmintie,Ehrenströmintie 3,Ehrenströmsvägen 3,Helsinki,Helsingfors,CityBike Finland,20,24.9592122677269,60.1552178363049
177,067,Perämiehenkatu,Styrmansgatan,Perämiehenkatu,Punavuorenkatu 22,Rödbergsgatan 22,Helsinki,Helsingfors,CityBike Finland,16,24.9340656851357,60.1600875931318
178,068,Albertinkatu,Albertsgatan,Albertinkatu,Albertinkatu 17,Albertsgatan 17,Helsinki,Helsingfors,CityBike Finland,20,24.936805044695,60.1618574878206
179,069,Kalevankatu,Kalevagatan,Kalevankatu,Albertinkatu 35,Albertsgatan 35,Helsinki,Helsingfors,CityBike Finland,16,24.9314322992008,60.1656962007403
180,070,Sammonpuistikko,Samposkvären,Sammonpuistikko,Sammonkatu 3,Sampogatan 3,Helsinki,Helsingfors,CityBike Finland,14,24.922411200048,60.1731473008565
181,071,Hietaniemenkatu,Sanduddsgatan,Hietaniemenkatu,Hiekkarannantie 9,Sandstrandsvägen 9,Helsinki,Helsingfors,CityBike Finland,24,24.907670424697,60.1733331557525
182,072,Eteläinen Hesperiankatu,Södra Hesperiagatan,Eteläinen Hesperiankatu,Eteläinen Hesperiankatu 38,Södrä Hesperiagatan 38,Helsinki,Helsingfors,CityBike Finland,18,24.9155261617441,60.1755926699257
183,073,Kesäkatu,Sommargatan,Kesäkatu,Kesäkatu 8,Sommargatan 8,Helsinki,Helsingfors,CityBike Finland,14,24.9132503995399,60.1792967012403
184,074,Rajasaarentie,Råholmsvägen,Rajasaarentie,Rajasaarentie 6,Råholmsvägen,Helsinki,Helsingfors,CityBike Finland,16,24.9110579020197,60.1831258146387
185,075,Korjaamo,Korjaamo,Korjaamo,Töölönkatu 51a,Tölögatan 51a,Helsinki,Helsingfors,CityBike Finland,24,24.9198837005522,60.1838637058335
186,076,Olympiastadion,Olympiastadion,Olympic Stadium,Toivonkatu 3,Toivogatan 3,Helsinki,Helsingfors,CityBike Finland,20,24.9249612452844,60.1844935162838
187,077,Nordenskiöldinaukio,Nordenskiöldsplatsen,Nordenskiöldinaukio,Linnankoskenkatu 15-17,Linnankoskigatan 15-17,Helsinki,Helsingfors,CityBike Finland,16,24.9172924251708,60.1852461181691
188,078,Messeniuksenkatu,Messeniusgatan,Messeniuksenkatu,Messeniuksenkatu 1a,Messeniusgatan 1a,Helsinki,Helsingfors,CityBike Finland,20,24.9180102002594,60.1878352008881
189,079,Uimastadion,Simstadion,Swimming Stadium,Hammarskjöldintie 5,Hammarsköljdsvägen 5,Helsinki,Helsingfors,CityBike Finland,18,24.9292125301789,60.1892523510459
190,080,Jäähalli,Ishall,Ice hall,Nordenskiöldinkatu 11,Nordenskiöldsgatan 11,Helsinki,Helsingfors,CityBike Finland,22,24.9204971353412,60.1893228127242
191,081,Stenbäckinkatu,Stenbäcksgatan,Stenbäckinkatu,Stenbäckinkatu 9,Stenbäcksgatan 9,Helsinki,Helsingfors,CityBike Finland,18,24.9123717007064,60.1883091004345
192,082,Töölöntulli,Tölötull,Töölöntulli,Mannerheimintie 112,Mannerheimvägen 112,Helsinki,Helsingfors,CityBike Finland,16,24.9128930190467,60.1909233825636
193,083,Meilahden sairaala,Mejlans sjukhus,Meilahti Hospital,Haartmaninkatu 4,Haartmansgatan 4,Helsinki,Helsingfors,CityBike Finland,28,24.9083351006822,60.1902195006779
194,084,Paciuksenkatu,Paciusgatan,Paciuksenkatu,Mäntytie 2,Tallvägen 2,Helsinki,Helsingfors,CityBike Finland,14,24.8999261202596,60.1912061506227
195,085,Jalavatie,Almvägen,Jalavatie,Jalavatie 10,Almvägen 10,Helsinki,Helsingfors,CityBike Finland,16,24.9057885671908,60.1934470356136
196,086,Kuusitie,Granvägen,Kuusitie,Mannerheimintie 152,Mannerheimvägen 152,Helsinki,Helsingfors,CityBike Finland,24,24.9018996998812,60.195245200996
197,087,Kustaankatu,Gustavsgatan,Kustaankatu,Kustaankatu 4b,Gustafsgatan 4b,Helsinki,Helsingfors,CityBike Finland,20,24.9559903941465,60.1882073130505
198,088,Kiskontie,Kiskovägen,Kiskontie,Mannerheimintie 99,Mannerheimvägen 99,Helsinki,Helsingfors,CityBike Finland,20,24.9012350212617,60.1990120771068
199,089,Tilkanvierto,Tilkkalänken,Tilkanvierto,Tilkankatu 41,Tilkgatan 41,Helsinki,Helsingfors,CityBike Finland,16,24.8992505554038,60.1975748307905
200,090,Paciuksenkaari,Paciussvängen,Paciuksenkaari,Johannesbergintie 6,Johannesbergsvägen 6,Helsinki,Helsingfors,CityBike Finland,20,24.8911179001256,60.1944475005468
201,091,Seurasaari,Fölisön,Seurasaari,Seurasaarentie 15,Fölisövägen 15,Helsinki,Helsingfors,CityBike Finland,22,24.8847643214706,60.1884345510866
202,092,Saunalahdentie,Bastuviksvägen,Saunalahdentie,Saunalahdentie 1,Bastuviksvägen 1,Helsinki,Helsingfors,CityBike Finland,8,24.879165200074,60.1926665285232
203,093,Torpanranta,Torpanranta,Torpanranta,Laajalahdentie 1,Bredsvikvägen 1,Helsinki,Helsingfors,CityBike Finland,16,24.8713963007611,60.194835800852
204,094,Laajalahden aukio,Bredviksplatsen,Laajalahden aukio,Munkkiniemen puistotie 21,Munksnäs allén 21,Helsinki,Helsingfors,CityBike Finland,20,24.8763012644263,60.1978706099889
205,095,Munkkiniemen aukio,Munksnäsplatsen,Munkkiniemen aukio,Munkkiniemen puistotie 1,Munksnäs allén 1,Helsinki,Helsingfors,CityBike Finland,18,24.884019388453,60.1967237938909
206,096,Huopalahdentie,Hoplaksvägen,Huopalahdentie,Huopalahdentie 13,Hoplaksvägen 13,Helsinki,Helsingfors,CityBike Finland,20,24.8835764865758,60.1997329281553
207,098,Ulvilantie,Ulfsbyvägen,Ulvilantie,Porintie 1,Björneborgsvägen,Helsinki,Helsingfors,CityBike Finland,12,24.8708784784715,60.2038687228517
208,099,Muusantori,Musans torg,Muusantori,Muusantori 5,Musanstorg 5,Helsinki,Helsingfors,CityBike Finland,12,24.855954400831,60.2071193007607
209,100,Teljäntie,Täljevägen,Teljäntie,Ulvilantie 21,Ulfsbyvägen 21,Helsinki,Helsingfors,CityBike Finland,12,24.8686567195812,60.2096904375252
210,101,Munkkivuoren ostoskeskus,Munkhöjdens köpcentrum,Munkkivuori Shopping Center,Huopalahdentie 20b,Hoplaksvägen 20b,Helsinki,Helsingfors,CityBike Finland,24,24.8798066035011,60.2059834226299
211,103,Vihdintie,Vichtisvägen,Vihdintie,Vihdintie 2,Vichtisvägen 2,Helsinki,Helsingfors,CityBike Finland,16,24.8895209008124,60.2089250009777
212,104,Kriikunakuja,Krikongränden,Kriikunakuja,Korppaanmäentie 26,Korpasbackavägen 26,Helsinki,Helsingfors,CityBike Finland,16,24.8916816998734,60.2056785010674
213,105,Tilkantori,Tilktorget,Tilkantori,Tilkantori 3,Tilktorget 3,Helsinki,Helsingfors,CityBike Finland,16,24.8933660254609,60.2027829040675
214,106,Korppaanmäentie,Korpasbackavägen,Korppaanmäentie,Mannerheimintie 170,Mannerheimvägen,Helsinki,Helsingfors,CityBike Finland,16,24.8989296993759,60.2034735010117
215,107,Tenholantie,Tenalavägen,Tenholantie,Kiskontie 22,Kiskovägen 22,Helsinki,Helsingfors,CityBike Finland,18,24.9054367957037,60.2023774139178
216,108,Radiokatu,Radiogatan,Radiokatu,Radiokatu 24,Radiogatan 24,Helsinki,Helsingfors,CityBike Finland,14,24.917930809194,60.2044834258841
217,109,Hertanmäenkatu,Hertabacksgatan,Hertanmäenkatu,Radiokatu 6,Radiogatan 6,Helsinki,Helsingfors,CityBike Finland,20,24.9227393042784,60.2023538689269
218,110,Maistraatintori,Magistratstorget,Maistraatintori,Kyllikinkatu 1,Kyllikkigatan 1,Helsinki,Helsingfors,CityBike Finland,14,24.9242458167087,60.2000903858908
219,111,Esterinportti,Estersporten,Esterinportti,Pasilanraitio 5,Böletået 5,Helsinki,Helsingfors,CityBike Finland,20,24.9267808000544,60.1975724006669
220,112,Rautatieläisenkatu,Järnvägsmannagatan,Rautatieläisenkatu,Ratapihantie 13,Bangårdsvägentie 13,Helsinki,Helsingfors,CityBike Finland,22,24.9332721002286,60.201438200765
221,113,Pasilan asema,Böle station,Pasila railway station,Pasilan asema-aukio,Böle station,Helsinki,Helsingfors,CityBike Finland,40,24.9327990790329,60.198210866794
222,114,Ratapihantie,Bangårdsvägen,Ratapihantie,Ratapihantie 1,Bangårdsvägentie 1,Helsinki,Helsingfors,CityBike Finland,20,24.936633254231,60.1964208245286
223,115,Venttiilikuja,Ventilgränden,Venttiilikuja,Venttiilikuja  1 & 2,Ventilgränden 1 & 2,Helsinki,Helsingfors,CityBike Finland,16,24.941522560234,60.1941915291888
224,116,Linnanmäki,Borgbacken,Linnanmäki Amusement Park,Viipurinkatu 20,Viborgsgatan 20,Helsinki,Helsingfors,CityBike Finland,32,24.940159299597,60.1911411011197
225,117,Brahen puistikko,Braheskvären,Brahen puistikko,Sturenkatu 12,Sturegatan 12,Helsinki,Helsingfors,CityBike Finland,12,24.9481257001874,60.1896658073144
226,118,Fleminginkatu,Flemingsgatan,Fleminginkatu,Aleksis Kiven katu 30,Aleksis Kivis gata 30,Helsinki,Helsingfors,CityBike Finland,22,24.952206700403,60.1895253244758
227,119,Gebhardinaukio,Gebhardsplatsen,Gebhardinaukio,Teollisuuskatu 3,Industrigatan 3,Helsinki,Helsingfors,CityBike Finland,20,24.955177,60.19118
228,120,Mäkelänkatu,Backasgatan,Mäkelänkatu,Mäkelänkatu 2,Backasgatan 2,Helsinki,Helsingfors,CityBike Finland,28,24.9633904702177,60.1896359995246
229,121,Vilhonvuorenkatu,Vilhelmsbergsgatan,Vilhonvuorenkatu,Vilhonvuorenkatu 12,Vilhelmsbergsgatan 12,Helsinki,Helsingfors,CityBike Finland,16,24.9678541236384,60.1864553116853
230,122,Lintulahdenkatu,Fågelviksgatan,Lintulahdenkatu,Lintulahdenkuja 6,Fågelviksgränden 6,Helsinki,Helsingfors,CityBike Finland,24,24.962063375375,60.1836809207071
231,123,Näkinsilta,Näckens bro,Näkinsilta,Sörnäisten rantatie 9,Sörnas strandväg 9,Helsinki,Helsingfors,CityBike Finland,24,24.9554449266323,60.1797502177879
232,124,Isoisänsilta,Farfarsbron,Isoisänsilta,Capellan puistotie 2,Capellas allé 2,Helsinki,Helsingfors,CityBike Finland,18,24.9817926053224,60.1826518210993
233,125,Arielinkatu,Arielgatan,Arielinkatu,Arielinkatu 14,Arielgatan 14,Helsinki,Helsingfors,CityBike Finland,20,24.9787769470451,60.1848393825455
234,126,Kalasatama (M),Fiskehamnen (M),Kalasatama (M),Hermannin rantatie 2b,Hermanstads strandväg 2b,Helsinki,Helsingfors,CityBike Finland,24,24.9771538924213,60.1875308514912
235,127,Teurastamo,Teurastamo,Teurastamo,Työpajankatu 2a,Verkstadsgatan 2a,Helsinki,Helsingfors,CityBike Finland,30,24.97115665034,60.189694592528
236,128,Päijänteentie,Päijännevägen,Päijänteentie,Päijänteentie 1,Päijännevägen 1,Helsinki,Helsingfors,CityBike Finland,14,24.9642238002847,60.1920576007558
237,129,Pernajantie,Pernåvägen,Pernajantie,Mäkelänkatu 25,Backasgatan 25,Helsinki,Helsingfors,CityBike Finland,20,24.9579782365197,60.1942276114153
238,130,Teollisuuskatu,Industrigatan,Teollisuuskatu,Teollisuuskatu 16,Industrigatan 16,Helsinki,Helsingfors,CityBike Finland,18,24.9487523997733,60.1934740191076
239,131,Elimäenkatu,Elimägatan,Elimäenkatu,Elimäenkatu 24,Elimägatan 24,Helsinki,Helsingfors,CityBike Finland,24,24.9476290451587,60.1962195713342
240,132,Hollolantie,Hollolavägen,Hollolantie,Hollolantie 2,Hollolavägen 2,Helsinki,Helsingfors,CityBike Finland,12,24.9546058093256,60.1958861973803
241,133,Paavalinpuisto,Paulusparken,Paavalinpuisto,Hämeentie 96,Tavastvägen 96,Helsinki,Helsingfors,CityBike Finland,22,24.9614401060514,60.1974798155962
242,134,Haukilahdenkatu,Gäddviksgatan,Haukilahdenkatu,Haukilahdenkatu 6,Gäddviksgatan 6,Helsinki,Helsingfors,CityBike Finland,26,24.9676238234159,60.1985339049846
243,135,Velodrominrinne,Velodromsbrinken,Velodrominrinne,Mäkelänkatu 70,Backasgatan 70,Helsinki,Helsingfors,CityBike Finland,12,24.9441912064597,60.2010023057281
244,136,Sofianlehdonkatu,Sofielundsgatan,Sofianlehdonkatu,Isonniitynkatu 7,Storsvängen 7,Helsinki,Helsingfors,CityBike Finland,12,24.9513635992831,60.2032721009115
245,137,Arabian kauppakeskus,Arabia köpcentrum,Arabia Shopping Center,Hämeentie 111,Tavastvägen 111,Helsinki,Helsingfors,CityBike Finland,30,24.9665718240119,60.2027696406573
246,138,Arabiankatu,Arabiagatan,Arabiankatu,Arabiankatu 7,Arabiagatan 7,Helsinki,Helsingfors,CityBike Finland,22,24.9770790121961,60.2064915656779
247,139,Muotoilijankatu,Designergatan,Muotoilijankatu, , ,Helsinki,Helsingfors,CityBike Finland,16,24.979682,60.209796
248,140,Verkatehtaanpuisto,Klädesfabriksparken,Verkatehtaanpuisto,Hämeentie 159,Tavastvägen 159,Helsinki,Helsingfors,CityBike Finland,14,24.9797491905265,60.2136895246488
249,141,Intiankatu,Indiagatan,Intiankatu,Intiankatu 20,Indiagatan 20,Helsinki,Helsingfors,CityBike Finland,16,24.967624641106,60.2078402364557
250,142,Koskelantie,Forsbyvägen,Koskelantie,Koskelantie 5,Forsbyvägen 5,Helsinki,Helsingfors,CityBike Finland,14,24.9464922066165,60.2087501979848
251,143,Kuikkarinne,Kuikkarinne,Kuikkarinne,Isokaari 10,Storsvängen 10,Helsinki,Helsingfors,CityBike Finland,12,24.869429786145,60.1570959966081
252,144,Käpyläntie,Kottbyvägen,Käpyläntie,Käpyläntie 1,Kottbyvägen 1,Helsinki,Helsingfors,CityBike Finland,14,24.958810800009,60.2139043005618
253,145,Pohjolankatu,Pohjolagatan,Pohjolankatu,Pohjolankatu 1,Pohjolagatan 1,Helsinki,Helsingfors,CityBike Finland,12,24.943796400567,60.2134210005951
254,146,Pohjolanaukio,Pohjolaplatsen,Pohjolanaukio,Pohjolankatu 40,Pohjolagatan 40,Helsinki,Helsingfors,CityBike Finland,16,24.9543597785944,60.2171787590192
255,147,Käpylän asema,Kottby station,Käpylä station,Panuntie 4,Panuvägen 4,Helsinki,Helsingfors,CityBike Finland,14,24.947949915225,60.2208033165832
256,148,Juhana Herttuan tie,Hertig Johans väg,Juhana Herttuan tie,Antti Korpin tie 3a,Anders Korps väg 3a,Helsinki,Helsingfors,CityBike Finland,16,24.9664522586218,60.2185249107568
257,149,Toinen linja,Andra linjen,Toinen linja,Toinen linja 25,Andra linjen 25,Helsinki,Helsingfors,CityBike Finland,22,24.944568511211,60.1830010014164
258,150,Töölönlahden puisto,Tölöviksparken,Töölönlahden puisto,Karamzininranta 4,Karamzins strand  4,Helsinki,Helsingfors,CityBike Finland,28,24.9334651536092,60.1769901768536
259,161,Eteläesplanadi,Södra Esplanaden,Eteläesplanadi,Eteläesplanadi 14,Södrä Esplanaden 14,Helsinki,Helsingfors,CityBike Finland,34,24.9471504600594,60.1671998543985
260,162,Leppäsuonaukio,Alkärrsplatsen,Leppäsuonaukio,Leppäsuonaukio 1,Alkärrsplatsen 1,Helsinki,Helsingfors,CityBike Finland,28,24.9265784464224,60.169584623927
261,163,Lehtisaarentie,Lövövägen,Lehtisaarentie,Liljasaarentie 1a,Liljeholmsvägen 1a,Helsinki,Helsingfors,CityBike Finland,12,24.8504396679317,60.1818132200983
262,200,Länsiterminaali,Västra terminalen,West Terminal,Sammonlaituri,Sampokajen,Helsinki,Helsingfors,CityBike Finland,24,24.9152135431217,60.1504730408213
263,201,Länsisatamankuja,Västrahamnsgränden,Länsisatamankuja,Länsisatamankatu 26,Västrahamnsgatan 26,Helsinki,Helsingfors,CityBike Finland,14,24.9120911686537,60.1569515055722
264,202,Merihaka,Havshagen,Merihaka,Hakaniemenranta 10,Hagnäskajen 10,Helsinki,Helsingfors,CityBike Finland,16,24.9585285446679,60.1780749193196
265,203,Opastinsilta,Semaforbron,Opastinsilta,Opastinsilta 10,Semaforbron 10,Helsinki,Helsingfors,CityBike Finland,40,24.9381525773314,60.1992657739978
266,204,A.I. Virtasen aukio,A. I. Virtanens plats,A.I. Virtasen aukio,Gustaf Hällströmin katu 1,Gustaf Hällströms gata 1,Helsinki,Helsingfors,CityBike Finland,24,24.9620788508105,60.2055418256072
267,205,Ilmalan asema,Ilmala station,Ilmala Station,Ilmalantori 1,Ilmalatorget 1,Helsinki,Helsingfors,CityBike Finland,16,24.9222198886661,60.206626438509
268,206,Ruskeasuon varikko,Brunakärrs depå,Ruskeasuo depot,Mannerheimintie 117,Mannerheimvägen 117,Helsinki,Helsingfors,CityBike Finland,14,24.8986678907755,60.2076799602835
269,207,Vanha Viertotie,Gamla chaussén,Vanha Viertotie,Vanha Viertotie 23,Gamla chaussén 23,Helsinki,Helsingfors,CityBike Finland,16,24.8816602535723,60.2110752969599
270,208,Valimotie,Gjuterivägen,Valimotie,Valimotie 1,Gjuterivägen 1,Helsinki,Helsingfors,CityBike Finland,24,24.8765290693424,60.2159693310577
271,209,Takomotie,Smedjevägen,Takomotie,Takomotie 29,Smedjevägen 29,Helsinki,Helsingfors,CityBike Finland,14,24.8710464686467,60.2178996331627
272,210,Pajamäki,Smedjebacka,Pajamäki,Pajamäentie 12,Smedjebackavägen 12,Helsinki,Helsingfors,CityBike Finland,12,24.8556743832859,60.2188213263944
273,211,Haagan tori,Haga torg,Haagan tori,Haagan tori 1,Haga torg 1,Helsinki,Helsingfors,CityBike Finland,16,24.8989300570329,60.2121115894754
274,212,Tunnelitie,Tunnelvägen,Tunnelitie,Tunnelitie 3,Tunnelvägen 3,Helsinki,Helsingfors,CityBike Finland,14,24.8995694064157,60.2166149422354
275,213,Huopalahden asema,Hoplaks station,Huopalahti Station,Huopalahden aseman itäinen raittisilta,Hoplaks stations östra järnvägsb,Helsinki,Helsingfors,CityBike Finland,20,24.8950577369047,60.218096144558
276,214,Valimon asema,Gjuteriets station,Valimo Station,Valimopolku 3,Gjuteristigen 3,Helsinki,Helsingfors,CityBike Finland,20,24.875844398505,60.2223022602117
277,215,Pitäjänmäen asema,Sockenbacka station,Pitäjänmäki Station,Pitäjänmäentie 21,Sockenbackavägen 21,Helsinki,Helsingfors,CityBike Finland,16,24.8586292857932,60.224309102205
278,216,Jännetie,Bågsträngsvägen,Jännetie,Konalantie 6,Kånalavägen 6,Helsinki,Helsingfors,CityBike Finland,12,24.8535714903001,60.2267575935547
279,217,Marttila,Martas,Marttila,Vihdintie 302,Vichtisvägen 302,Helsinki,Helsingfors,CityBike Finland,16,24.8732133049422,60.2271498174122
280,218,Pohjois-Haagan asema,Norra Haga station,Pohjois-Haaga Station,Pennikuja 2,Penninggränden 2,Helsinki,Helsingfors,CityBike Finland,16,24.8830806372703,60.2300717130271
281,219,Näyttelijäntie,Skådespelarvägen,Näyttelijäntie,Kaupintie 3,Krämärvägen 3,Helsinki,Helsingfors,CityBike Finland,16,24.8875470407423,60.2328641050417
282,220,Ida Aalbergin tie,Ida Aalbergs väg,Ida Aalbergin tie,Näyttelijäntie 14,Skådespelarvägen 14,Helsinki,Helsingfors,CityBike Finland,18,24.8919840907452,60.2293972548317
283,221,Thalianaukio,Thaliaplatsen,Thalianaukio,Aino Ackten tie 1,Aino Acktés väg 1,Helsinki,Helsingfors,CityBike Finland,14,24.8947958642764,60.2253423196494
284,222,Huovitie,Knektvägen,Huovitie,Huovitie 10,Knektvägen 10,Helsinki,Helsingfors,CityBike Finland,12,24.903286646657,60.2219755360125
285,223,Hämeenlinnanväylä,Tavastehusleden,Hämeenlinnanväylä,Eliel Saarisen tie 2,Eliel Saarinens väg 2,Helsinki,Helsingfors,CityBike Finland,14,24.9028322456728,60.2274510762347
286,224,Vesakkotie,Snårvägen,Vesakkotie,Männikkötie 11,Talldungevägen 11,Helsinki,Helsingfors,CityBike Finland,12,24.926615382648,60.2279595241282
287,225,Maunula,Månsas,Maunula,Maunulanmäki 2,Månsasbacken 2,Helsinki,Helsingfors,CityBike Finland,16,24.9325030021005,60.2303828883575
288,226,Lepolantie,Lepolavägen,Lepolantie,Lepolantie 61,Lepolavägen 61,Helsinki,Helsingfors,CityBike Finland,14,24.9286046557083,60.2390854117052
289,227,Kylävoudintie,Byfogdevägen,Kylävoudintie,Kylävoudintie 6,Byfogdevägen 6,Helsinki,Helsingfors,CityBike Finland,14,24.9525612440735,60.2244037853304
290,228,Kustaankartano,Gustafsgård,Kustaankartano,Maapadontie 3,Jorddammsvägen 3,Helsinki,Helsingfors,CityBike Finland,20,24.9487651621967,60.2307028705708
291,229,Käskynhaltijantie,Ståthållarvägen,Käskynhaltijantie,Hirsipadontie 2,Timmerdammsvägen 2,Helsinki,Helsingfors,CityBike Finland,18,24.9579341169413,60.2332319517011
292,230,Mäkitorpantie,Kullatorpsvägen,Mäkitorpantie,Kylänvanhimmantie 29,Byäldstevägen 29,Helsinki,Helsingfors,CityBike Finland,18,24.9626611159549,60.2301674747286
293,231,Siltavoudintie,Brofogdegränd,Siltavoudintie,Käskynhaltijantie 22,Ståthållarvägen 22,Helsinki,Helsingfors,CityBike Finland,16,24.9649692401002,60.2337172280165
294,232,Oulunkylän asema,Åggelby station,Oulunkylä Station,Oulunkyläntori 2,Åggelbytorget 2,Helsinki,Helsingfors,CityBike Finland,14,24.9667185624346,60.2291001633593
295,233,Kirkkoherrantie,Kyrkoherdevägen,Kirkkoherrantie,Kirkkoherrantie 5,Kyrkoherdevägen 5,Helsinki,Helsingfors,CityBike Finland,10,24.9728193757838,60.224930366181
296,234,Otto Brandtin tie,Otto Brandts väg,Otto Brandtin tie,Tulvaniityntie 2,Flödängsvägen 2,Helsinki,Helsingfors,CityBike Finland,20,24.978138918169,60.2317840662646
297,235,Katariina Saksilaisen katu,Katarina av Sachsens gata,Katariina Saksilaisen katu,Katariina Saksilaisen katu 6,Katarina av Sachsens gata 6,Helsinki,Helsingfors,CityBike Finland,16,24.9844208812222,60.2172068273415
298,236,Hernepellontie,Ärtåkersvägen,Hernepellontie,Harjannetie 44,Krönvägen 44,Helsinki,Helsingfors,CityBike Finland,14,24.9886129703083,60.2242412695989
299,237,Aulangontie,Aulankovägen,Aulangontie,Harjannetie 2,Krönvägen 2,Helsinki,Helsingfors,CityBike Finland,16,24.9985804201597,60.2302596402992
300,238,Pihlajamäki,Rönnbacka,Pihlajamäki,Meripihkatie 3,Bärnstensvägen 3,Helsinki,Helsingfors,CityBike Finland,16,25.0103139042598,60.2345785721774
301,239,Viikin tiedepuisto,Viks forskarpark,Viikki Science Park,Viikintori,Vikstorget,Helsinki,Helsingfors,CityBike Finland,28,25.0100484016429,60.2275394243354
302,240,Viikin normaalikoulu,Normalskolan i Vik,Viikki Teacher Training School,Kevättori,Vårtorget,Helsinki,Helsingfors,CityBike Finland,20,25.0275940265589,60.2274649753727
303,241,Agronominkatu,Agronomgatan,Agronominkatu,Latokartanontori,Ladugårdstorget,Helsinki,Helsingfors,CityBike Finland,24,25.0328574018928,60.2340530108661
304,242,Von Daehnin katu,Von Daehns gata,Von Daehnin katu,Von Daehnin katu 14,Von Daehns gata 14,Helsinki,Helsingfors,CityBike Finland,14,25.0436178847115,60.2303443601
305,243,Mustikkamaa,Blåbärslandet,Mustikkamaa,Mustikkamaantie 8,Blåbärslandsvägen 8,Helsinki,Helsingfors,CityBike Finland,20,24.9921054052715,60.1818444005247
306,244,Relanderinaukio,Relandersplatsen,Relanderinaukio,Ståhlbergintie 6,Ståhlbergsvägen 6,Helsinki,Helsingfors,CityBike Finland,16,25.0058079125451,60.1858547419242
307,245,Kulosaari (M),Brändö (M),Kulosaari (M),Ukko-Pekan porras,Ukko-Pekkas trappstig,Helsinki,Helsingfors,CityBike Finland,16,25.0065665307877,60.1889500897585
308,246,Tupasaarentie,Stugövägen,Tupasaarentie,Risto Rytin tie 30,Risto Rytis väg 30,Helsinki,Helsingfors,CityBike Finland,12,25.0153289779221,60.1878871313958
309,247,Haakoninlahdenkatu,Håkanviksgatan,Haakoninlahdenkatu,Koirasaarentie 33,Hundholmsvägen 33,Helsinki,Helsingfors,CityBike Finland,16,25.0208609553506,60.1688685594503
310,248,Gunillantie,Gunillavägen,Gunillantie,Koirasaarentie 32,Hundholmsvägen 32,Helsinki,Helsingfors,CityBike Finland,16,25.0330122371044,60.1719938598506
311,249,Isosaarentie,Mjölövägen,Isosaarentie,Köökarinkuja 3,Kökargränden 3,Helsinki,Helsingfors,CityBike Finland,14,25.0450147987505,60.1755055081917
312,250,Reiherintie,Reihersvägen,Reiherintie,Laajasalontie 13,Degerövägen 13,Helsinki,Helsingfors,CityBike Finland,12,25.0474962642386,60.1677305039774
313,251,Laajasalon ostoskeskus,Degerö köpcentrum,Laajasalo shopping center,Yliskylän puistokatu 4,Uppby parkgata 4,Helsinki,Helsingfors,CityBike Finland,16,25.0519120121372,60.1800091589978
314,252,Humalniementie,Humleuddsvägen,Humalniementie,Ryytikuja 2,Kryddgränden 2,Helsinki,Helsingfors,CityBike Finland,14,25.0530603555751,60.1837062969261
315,253,Tammisalon aukio,Tammelundsplatsen,Tammisalon aukio,Väylänrinne 1,Båtledsbrinken 1,Helsinki,Helsingfors,CityBike Finland,20,25.0610604378886,60.1916636548395
